Tiempo(s),Operaciones_completadas
0.100255,1
0.200715,2
0.300916,3
0.401229,4
0.501706,5
0.602107,6
0.702490,7
0.802742,8
0.902832,9
1.003232,10
1.103505,11
1.204286,12
1.304444,13
1.404953,14
1.505434,15
1.605934,16
1.706419,17
1.807050,18
1.907682,19
2.008162,20
2.108793,21
2.209422,22
2.310260,23
2.410941,24
2.511210,25
2.611697,26
2.712093,27
2.812955,28
2.914086,29
3.014231,30
3.114580,31
3.214972,32
3.315547,33
3.416414,34
3.517151,35
3.617823,36
3.718279,37
3.818684,38
3.919133,39
4.019880,40
4.120640,41
4.221381,42
4.321913,43
4.422540,44
4.523485,45
4.624443,46
4.724828,47
4.825624,48
4.928171,49
5.028474,50
5.133498,51
5.234073,52
5.334818,53
5.435497,54
5.535992,55
5.636426,56
5.737530,57
5.838012,58
5.938558,59
6.039195,60
6.139777,61
6.240340,62
6.340622,63
6.440949,64
6.541242,65
6.641842,66
6.742214,67
6.842525,68
6.943520,69
7.044162,70
7.144593,71
7.245098,72
7.345993,73
7.446572,74
7.547341,75
7.648247,76
7.749355,77
7.849898,78
7.950602,79
8.051242,80
8.151739,81
8.252040,82
8.352563,83
8.453349,84
8.553767,85
8.654253,86
8.754622,87
8.855004,88
8.955306,89
9.056035,90
9.156553,91
9.257010,92
9.357250,93
9.457392,94
9.557531,95
9.657989,96
9.758389,97
9.858645,98
9.958878,99
10.059075,100
10.159694,101
10.260135,102
10.360525,103
10.460822,104
10.561157,105
10.661257,106
10.761647,107
10.861919,108
10.962160,109
11.062545,110
11.162922,111
11.263546,112
11.364123,113
11.464372,114
11.564627,115
11.664925,116
11.765517,117
11.865853,118
11.966449,119
12.066756,120
12.167328,121
12.267646,122
12.368292,123
12.468697,124
12.568903,125
12.669438,126
12.769830,127
12.870394,128
12.970522,129
13.071086,130
13.171406,131
13.271663,132
13.371836,133
13.472548,134
13.573042,135
13.673810,136
13.774684,137
13.875598,138
13.975713,139
14.076491,140
14.177116,141
14.277700,142
14.378148,143
14.478556,144
14.578822,145
14.679165,146
14.779571,147
14.880187,148
14.980532,149
15.081051,150
15.181585,151
15.282132,152
15.382481,153
15.482816,154
15.583190,155
15.683924,156
15.784690,157
15.885157,158
15.985829,159
16.086323,160
16.186784,161
16.287422,162
16.388246,163
16.488781,164
16.589244,165
16.690105,166
16.790455,167
16.891273,168
16.991494,169
17.091984,170
17.192650,171
17.293424,172
17.393945,173
17.494592,174
17.594919,175
17.695377,176
17.796038,177
17.896533,178
17.997077,179
18.097434,180
18.198092,181
18.298374,182
18.398638,183
18.498772,184
18.599261,185
18.699797,186
18.800542,187
18.901076,188
19.001473,189
19.101864,190
19.202355,191
19.302890,192
19.403223,193
19.503806,194
19.604654,195
19.705064,196
19.805883,197
19.906446,198
20.007261,199
20.107584,200
20.208316,201
20.308657,202
20.408838,203
20.509238,204
20.609351,205
20.710078,206
20.810527,207
20.910655,208
21.011359,209
21.111927,210
21.212378,211
21.312993,212
21.413440,213
21.514070,214
21.614642,215
21.715189,216
21.815669,217
21.915979,218
22.016469,219
22.116792,220
22.217020,221
22.317584,222
22.417939,223
22.518217,224
22.618806,225
22.719432,226
22.819865,227
22.920019,228
23.020445,229
23.120787,230
23.221094,231
23.321407,232
23.421675,233
23.522351,234
23.622900,235
23.723261,236
23.823755,237
23.923989,238
24.024223,239
24.124841,240
24.225441,241
24.325931,242
24.426196,243
24.526325,244
24.626555,245
24.727043,246
24.827352,247
24.927755,248
25.027853,249
25.128140,250
25.228753,251
25.329392,252
25.429823,253
25.529933,254
25.630380,255
25.730705,256
25.831455,257
25.931616,258
26.032242,259
26.132975,260
26.233691,261
26.334178,262
26.434753,263
26.535778,264
26.636017,265
26.736524,266
26.837489,267
26.938073,268
27.038586,269
27.138952,270
27.239688,271
27.340223,272
27.441252,273
27.542282,274
27.642809,275
27.743439,276
27.844296,277
27.945089,278
28.045673,279
28.146238,280
28.247003,281
28.347780,282
28.448325,283
28.548996,284
28.649684,285
28.750120,286
28.850667,287
28.951627,288
29.052239,289
29.152896,290
29.253620,291
29.353995,292
29.455187,293
29.555452,294
29.656294,295
29.756691,296
29.857414,297
29.958150,298
30.058682,299
30.158877,300
